block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1
22,350.15,350.16,350.15,288.0043,9.600143333333334e-08,32
25,350.15,350.17,350.15,46.0,1.5333333333333335e-08,1
26,350.15,350.16,350.15,6.0,2e-09,1
27,350.15,350.17,350.15,6.0,2e-09,1
1,350.16,350.17,350.16,12.0,4e-09,1
2,351.86,352.58,351.9,5.0,1.6666666666666667e-09,1
3,351.88,352.58,351.91,63.0,2.1e-08,1
28,350.16,350.17,350.16,7.0,2.333333333333333e-09,1
4,351.89,352.58,351.92,36.0,1.2e-08,1
29,350.17,350.19,350.17,7.0,2.333333333333333e-09,1
5,351.9,352.58,351.93,16800.0,5.6e-06,175
30,350.18,350.21,350.18,17.0,5.666666666666667e-09,1
6,351.91,352.58,351.94,36.0,1.2e-08,1
10,,,0.0,6.0,2e-09,1
11,,,0.0,44.0,1.4666666666666667e-08,1
12,,,0.0,950.5,3.1683333333333333e-07,950
32,350.19,350.22,350.19,5.0,1.6666666666666667e-09,1
31,350.19,350.22,350.19,1.0,3.333333333333333e-10,1
7,351.92,352.58,351.95,2851.5,9.505e-07,950
20,,,0.0,36.0,1.2e-08,1
21,,,0.0,51.0,1.7e-08,1
