block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time
0,350.16,350.16,350.16,73.0,2.4333333333333333e-08
28,350.16,350.16,350.16,6.0,2e-09
29,350.16,350.16,350.16,6.0,2e-09
30,350.16,350.17,350.16,7.0,2.333333333333333e-09
31,350.16,350.17,350.16,7.0,2.333333333333333e-09
32,350.16,350.17,350.16,17.0,5.666666666666667e-09
33,350.16,350.19,350.16,1.0,3.333333333333333e-10
1,350.17,350.19,350.17,3500.0,1.1666666666666666e-06
34,350.17,350.18,350.17,23.0,7.666666666666667e-09
2,350.18,350.2,350.18,7.0,2.333333333333333e-09
35,350.18,350.22,350.18,2.0,6.666666666666666e-10
3,350.19,350.23,350.19,12.0,4e-09
6,350.19,350.22,350.19,63.0,2.1e-08
37,350.19,350.23,350.19,21.0,7e-09
36,350.19,350.23,350.19,12.0,4e-09
4,350.2,350.23,350.2,5.0,1.6666666666666667e-09
7,350.2,350.25,350.2,3000.0,1e-06
8,350.21,350.29,350.22,7.812499,2.6041663333333332e-09
9,350.21,350.26,350.22,5953.124,1.9843746666666664e-06
10,351.99,352.56,352.03,21580070.0,0.007193356666666667
11,350.23,350.33,350.23,3999.999,1.3333329999999999e-06
12,350.24,350.36,350.25,999.9998,3.333332666666667e-07
13,350.25,350.37,350.26,12000.0,4e-06
14,350.24,350.34,350.24,66999.99,2.233333e-05
15,350.25,350.37,350.26,7.812499,2.6041663333333332e-09
16,350.25,350.37,350.26,2976.562,9.921873333333332e-07
17,351.72,352.09,351.76,11906250.0,0.00396875
18,351.74,352.1,351.78,1984.375,6.614583333333333e-07
19,350.26,350.4,350.27,1503.906,5.01302e-07
20,350.28,350.41,350.28,37597.65,1.253255e-05
21,350.29,350.42,350.29,41999.99,1.3999996666666667e-05
5,350.21,350.24,350.21,41.0,1.3666666666666667e-08
23,350.21,350.24,350.21,51.0,1.7e-08
22,350.3,350.42,350.3,43.0,1.4333333333333333e-08
24,350.22,350.27,350.22,288.0043,9.600143333333334e-08
25,350.23,350.29,350.24,176.0026,5.866753333333333e-08
26,350.25,350.31,350.25,672.0099,2.240033e-07
27,350.26,350.32,350.26,46.0,1.5333333333333335e-08
