block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.16,350.15,201,6.7e-08,1,0.65,3.0
35,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
36,350.15,350.16,350.15,6,2e-09,1,0.65,3.0
37,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
38,350.15,350.17,350.15,7,2.333333333333333e-09,1,0.65,3.0
39,350.15,350.16,350.15,17,5.666666666666667e-09,1,0.65,3.0
40,350.15,350.17,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.16,350.18,350.16,17,5.666666666666667e-09,1,0.65,3.0
41,350.16,350.18,350.16,5,1.6666666666666667e-09,1,0.65,3.0
4,350.16,350.18,350.16,104,3.4666666666666666e-08,1,0.65,3.0
9,350.16,350.18,350.16,87,2.9e-08,1,0.65,3.0
2,350.17,350.19,350.17,5,1.6666666666666667e-09,1,0.65,3.0
42,350.17,350.19,350.17,20,6.666666666666667e-09,1,0.65,3.0
5,350.17,350.19,350.17,107054,3.568466666666667e-05,1000,0.65,3.0
6,351.4,352.16,351.42,78960500,0.026320166666666665,999500,0.65,3.0
7,351.42,352.16,351.43,3002,9.683870967741935e-07,1000,0.65,3.1
10,350.17,350.21,350.17,2001,6.67e-07,1000,0.65,3.0
11,,,0.0,0,0.0,8,0.65,3.0
12,,,0.0,766,,8,0.9,
13,350.18,350.22,350.18,13898,4.632666666666666e-06,993,0.65,3.0
14,351.9,352.61,351.93,36160500,0.0120535,495349,0.65,3.0
15,,,0.0,4002,,1000,0.9,
3,350.18,350.2,350.18,108,3.6e-08,1,0.65,3.0
30,350.18,350.2,350.18,51,1.7e-08,1,0.65,3.0
43,350.18,350.22,350.18,2,6.666666666666666e-10,1,0.65,3.0
8,351.43,352.16,351.45,24,7.741935483870967e-09,1,0.65,3.1
16,,,0.0,0,,1,0.9,
32,350.15,350.16,350.15,176,5.866666666666667e-08,16,0.65,3.0
33,350.16,350.18,350.16,672,2.24e-07,32,0.65,3.0
31,350.19,350.21,350.19,288,9.6e-08,32,0.65,3.0
45,350.19,350.23,350.19,21,7e-09,1,0.65,3.0
44,350.19,350.23,350.19,13,4.333333333333333e-09,1,0.65,3.0
17,,,0.0,6003,,1000,0.9,
18,,,0.0,55972000,,999500,0.9,
19,,,0.0,4002,,1000,0.9,
34,350.17,350.19,350.17,46,1.5333333333333335e-08,1,0.65,3.0
20,,,0.0,8,,1,0.9,
23,,,0.0,0,,1,0.9,
21,,,0.0,0,,1,0.9,
24,,,0.0,19,,1,0.9,
22,,,0.0,8434,,124,0.9,
25,,,0.0,0,,1,0.9,
26,,,0.0,6003,,1000,0.9,
27,,,0.0,54972500,,999500,0.9,
28,,,0.0,4002,,1000,0.9,
29,,,0.0,30,,1,0.9,
