block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,required_voltage,required_voltage_value
0,350.16,350.16,350.16,49.0,1.6333333333333334e-08,3,0.645
38,350.16,350.16,350.16,6.0,2e-09,3,0.645
39,350.16,350.16,350.16,6.0,2e-09,3,0.645
40,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
41,350.16,350.17,350.16,7.0,2.333333333333333e-09,3,0.645
42,350.16,350.17,350.16,17.0,5.666666666666667e-09,3,0.645
43,350.16,350.19,350.16,1.0,3.3333333333333327e-10,3,0.645
1,350.17,350.18,350.17,12.0,4e-09,3,0.645
44,350.17,350.19,350.17,5.0,1.6666666666666667e-09,3,0.645
4,350.17,350.18,350.17,55.0,1.833333333333333e-08,3,0.645
12,350.17,350.18,350.17,64.0,2.133333333333333e-08,3,0.645
2,350.18,350.19,350.18,5.0,1.6666666666666667e-09,3,0.645
45,350.18,350.21,350.18,20.0,6.666666666666667e-09,3,0.645
5,350.18,350.19,350.18,3902.999,1.3009996666666666e-06,3,0.645
6,,,0.0,0.0,0.0,0,0.63
7,,,0.0,386.2343,1.2874476666666668e-07,0,0.63
8,350.19,350.23,350.19,645.4179,2.151393e-07,3,0.645
9,351.96,352.63,351.99,31834590.0,0.01061153,2,0.64
10,,,0.0,3252.5,1.0841666666666667e-06,0,0.63
13,350.18,350.21,350.18,1252.5,4.175e-07,3,0.645
14,350.22,350.28,350.22,649001.1,0.0002163337,3,0.645
15,,,0.0,0.0,0.0,0,0.63
16,,,0.0,9701461000.0,3.233820333333333,0,0.63
17,,,0.0,0.0,0.0,0,0.63
18,,,0.0,33748060.0,0.0112493533333333,0,0.63
19,,,0.0,16549530.0,0.00551651,0,0.63
20,,,0.0,1947003.0,0.000649001,0,0.63
21,,,0.0,1252.5,4.175e-07,0,0.63
22,,,0.0,649001.1,0.0002163337,0,0.63
23,,,0.0,0.0,0.0,0,0.63
24,,,0.0,9701461000.0,3.233820333333333,0,0.63
25,,,0.0,0.0,0.0,0,0.63
26,,,0.0,33748060.0,0.0112493533333333,0,0.63
27,,,0.0,16549530.0,0.00551651,0,0.63
28,,,0.0,1947003.0,0.000649001,0,0.63
29,,,0.0,751.5,2.505e-07,0,0.63
3,350.19,350.2,350.19,41.0,1.3666666666666668e-08,3,0.645
31,350.19,350.2,350.19,60.0,2e-08,3,0.645
46,350.19,350.25,350.19,2.0,6.666666666666665e-10,3,0.645
11,,,0.0,6.0,2e-09,0,0.63
30,,,0.0,42.0,1.4e-08,0,0.63
32,,,0.0,0.0,0.0,0,0.63
33,,,0.0,13139.7,4.3799e-06,0,0.63
34,,,0.0,11679.73,3.8932433333333335e-06,0,0.63
35,,,0.0,37959.14,1.2653046666666666e-05,0,0.63
36,,,0.0,2982.088,9.940293333333334e-07,0,0.63
48,350.2,350.26,350.21,21.0,7e-09,3,0.645
47,350.2,350.26,350.2,13.0,4.333333333333333e-09,3,0.645
37,,,0.0,58.0,1.933333333333333e-08,0,0.63
