block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
12,77.04000000000002,77.06,-0.01999999999998181
2,77.0,77.0,0.0
5,77.0,77.0,0.0
10,77.0,77.0,0.0
9,77.0,77.0,0.0
8,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
17,77.0,77.0,0.0
18,77.0,77.0,0.0
19,77.0,77.0,0.0
20,77.0,77.0,0.0
21,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
13,77.0,77.0,0.0
16,77.0,77.0,0.0
15,64.28000000000003,64.33000000000004,-0.05000000000001137
14,64.28000000000003,64.33000000000004,-0.05000000000001137
3,77.0,77.0,0.0
11,77.04000000000002,77.06,-0.01999999999998181
