block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count
0,350.15,350.16,350.15,71.0,2.3666666666666667e-08,1
26,350.15,350.16,350.15,1.0,3.333333333333333e-10,1
27,350.15,350.17,350.15,2001.0,6.67e-07,1000
1,350.16,350.17,350.16,12.0,4e-09,1
2,351.86,352.58,351.9,5.0,1.6666666666666667e-09,1
3,351.88,352.58,351.91,63.0,2.1e-08,1
4,351.89,352.58,351.92,53.0,1.7666666666666666e-08,1
5,351.9,352.58,351.93,40020.01,1.3340003333333334e-05,1000
6,351.91,352.58,351.94,19.0,6.333333333333333e-09,1
7,351.92,352.58,351.95,2001.0,6.67e-07,1000
17,,,0.0,13.0,4.333333333333333e-09,1
18,,,0.0,7003.502,2.334500666666667e-06,1000
